genID	clust_num	clust_size	description	Org_name	product	prom_cg	genes_cg	prom_longs	genes_longs	Chrom	Start	End	Dist	Tandem
Ncaninum_LIV_000677300.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.51301	385.591	397	Nc_X	401630	402820	1868	33
TGME49_320230-t26_1	2	93	SAG-related sequence SRS15C	Tgondii	-----	0.530731	0.5141	385.591	402	IV	424226	425680	12304	2
Ncaninum_LIV_000317900.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.54507	385.591	392	Nc_III	5117299	5118474	1581	19
Ncaninum_LIV_000318100.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.54327	385.591	389	Nc_III	5123192	5124358	1575	19
Ncaninum_LIV_000318300.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.54499	385.591	389	Nc_III	5129067	5130233	1583	19
Ncaninum_LIV_000318200.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.54677	385.591	392	Nc_III	5125933	5127108	1959	19
Ncaninum_LIV_000318000.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.5335	385.591	393	Nc_III	5120055	5121233	1959	19
Ncaninum_LIV_000318400.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53656	385.591	392	Nc_III	5131816	5132991	952842	19
Ncaninum_LIV_000677000.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.5443	385.591	395	Nc_X	392333	393517	1916	33
Ncaninum_LIV_000676700.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.52806	385.591	392	Nc_X	382974	384149	1905	33
Ncaninum_LIV_000677100.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53761	385.591	390	Nc_X	395433	396602	5028	33
Ncaninum_LIV_000676800.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53761	385.591	390	Nc_X	386054	387223	2013	33
Ncaninum_LIV_000676900.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53282	385.591	391	Nc_X	389236	390408	1925	33
Ncaninum_LIV_000676600.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.5323	385.591	387	Nc_X	380042	381202	1772	33
TGME49_320240-t26_1	2	93	SAG-related sequence SRS15B	Tgondii	-----	0.530731	0.51585	385.591	389	IV	421151	424148	78	2
TGME49_224770-t26_1	2	93	SAG-related sequence SRS40D	Tgondii	-----	0.530731	0.52479	385.591	390	X	2833530	2834982	1214	46
Ncaninum_LIV_000677700.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.52956	385.591	389	Nc_X	414875	416041	22320	33
Ncaninum_LIV_000678800.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.52594	385.591	424	Nc_X	456529	457800	536557	34
Ncaninum_LIV_000677400.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.52099	385.591	389	Nc_X	404688	405854	1896	33
Ncaninum_LIV_000677600.1	2	93	-----	Ncaninum	srs domain-containing protein	0.530731	0.52715	385.591	399	Nc_X	411197	412393	2482	33
TGME49_320180-t26_1	2	93	SAG-related sequence SRS16C	Tgondii	-----	0.530731	0.52632	385.591	399	IV	445608	447054	4052	3
TGME49_320200-t26_1	2	93	SAG-related sequence SRS16A	Tgondii	-----	0.530731	0.52813	385.591	397	IV	437984	440770	924	3
TGME49_320190-t26_1	2	93	SAG-related sequence SRS16B	Tgondii	-----	0.530731	0.51295	385.591	399	IV	441694	443582	2026	3
TGME49_301180-t26_1	2	93	SAG-related sequence SRS19F	Tgondii	-----	0.530731	0.52721	385.591	392	IV	2298865	2300592	99999999	5
TGME49_301170-t26_1	2	93	SAG-related sequence SRS19D	Tgondii	-----	0.530731	0.53162	385.591	390	IV	2292764	2294340	4525	5
TGME49_301150-t26_1	2	93	SAG-related sequence SRS19B	Tgondii	-----	0.530731	0.52882	385.591	399	IV	2287392	2288588	1016	5
TGME49_301160-t26_1	2	93	SAG-related sequence SRS19C	Tgondii	-----	0.530731	0.51385	385.591	397	IV	2289604	2291033	1731	5
Ncaninum_LIV_000706100.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53367	385.591	391	Nc_X	2552813	2553985	99999999	36
Ncaninum_LIV_000705900.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53049	385.591	399	Nc_X	2545114	2546310	2084	36
Ncaninum_LIV_000705800.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.52739	385.591	426	Nc_X	2540630	2541907	3207	36
Ncaninum_LIV_000706000.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.51861	385.591	403	Nc_X	2548394	2549602	3211	36
Ncaninum_LIV_000705400.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53652	385.591	397	Nc_X	2525958	2527148	2070	36
Ncaninum_LIV_000705500.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53553	385.591	394	Nc_X	2529218	2530399	1840	36
Ncaninum_LIV_000705600.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.5153	385.591	414	Nc_X	2532239	2533480	7150	36
TGME49_301140-t26_1	2	93	SAG-related sequence SRS19A	Tgondii	-----	0.530731	0.507	385.591	405	IV	2284245	2286076	1316	5
Ncaninum_LIV_000331200.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.51828	385.591	465	Nc_III	6110263	6111657	99999999	0
Ncaninum_LIV_000330800.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.5	385.591	352	Nc_III	6085833	6086888	23375	0
Ncaninum_LIV_000037700.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.54306	385.591	329	Nc_I	2530662	2531648	148303	0
Ncaninum_LIV_000416100.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.48148	385.591	234	Nc_IV	6240820	6241521	99999999	0
TGME49_308840-t26_1	4	54	SAG-related sequence SRS51	Tgondii	-----	0.518121	0.51515	383.389	473	XI	294738	297508	320289	0
TGME49_233460-t26_1	2	93	SAG-related sequence SRS29B	Tgondii	-----	0.530731	0.52226	385.591	337	VIII	2664481	2665491	5348	43
Ncaninum_LIV_000061800.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.53333	385.591	320	Nc_I	4273800	4274759	3253946	14
TGME49_272560-t26_1	2	93	SAG-related sequence SRS31B	Tgondii	-----	0.530731	0.51852	385.591	126	VIII	3884798	3885175	364407	0
Ncaninum_LIV_000044500.1	9	28	-----	Ncaninum	SAG3 protein, related	0.525236	0.52599	342.25	372	Nc_I	3058802	3059917	2545	11
Ncaninum_LIV_000044200.1	9	28	-----	Ncaninum	SAG3 protein, related	0.525236	0.51662	342.25	371	Nc_I	3047190	3048302	2881	11
Ncaninum_LIV_000044600.1	9	28	-----	Ncaninum	SAG3 protein, related	0.525236	0.52022	342.25	371	Nc_I	3062462	3063574	213689	11
Ncaninum_LIV_000044300.1	9	28	-----	Ncaninum	SAG3 protein, related	0.525236	0.50314	342.25	371	Nc_I	3051183	3052295	6507	11
Ncaninum_LIV_000510100.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.51574	342.25	360	Nc_V	3989700	3990779	1836	27
Ncaninum_LIV_000511400.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.52315	342.25	360	Nc_V	4042867	4043946	202258	28
Ncaninum_LIV_000510900.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.52593	342.25	360	Nc_V	4021213	4022292	3262	28
Ncaninum_LIV_000511100.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.53296	342.25	359	Nc_V	4029230	4030306	3449	28
Ncaninum_LIV_000509900.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.53549	342.25	432	Nc_V	3981827	3983122	3271	27
Ncaninum_LIV_000510000.1	9	28	-----	Ncaninum	SRS domain-containing protein	0.525236	0.5217	342.25	361	Nc_V	3986393	3987475	2225	27
Ncaninum_LIV_000510700.1	9	28	-----	Ncaninum	SRS domain-containing protein	0.525236	0.52607	342.25	358	Nc_V	4016306	4017379	2881	28
Ncaninum_LIV_000509700.1	9	28	-----	Ncaninum	SRS domain-containing protein	0.525236	0.52607	342.25	358	Nc_V	3973264	3974337	2793	27
Ncaninum_LIV_000509500.1	9	28	-----	Ncaninum	SRS domain-containing protein	0.525236	0.53073	342.25	358	Nc_V	3961381	3962454	3293	27
Ncaninum_LIV_000511200.1	9	28	-----	Ncaninum	SRS domain-containing protein	0.525236	0.51936	342.25	353	Nc_V	4033755	4034813	2877	28
Ncaninum_LIV_000509800.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.52607	342.25	358	Nc_V	3977130	3978203	3624	27
Ncaninum_LIV_000511000.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.53362	342.25	233	Nc_V	4025554	4026252	2978	28
Ncaninum_LIV_000510800.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.52951	342.25	209	Nc_V	4020260	4020886	327	28
Ncaninum_LIV_000511300.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.5337	342.25	366	Nc_V	4037690	4038787	4080	28
Ncaninum_LIV_000510200.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.50737	342.25	362	Nc_V	3992615	3993700	6899	27
Ncaninum_LIV_000510600.1	9	28	-----	Ncaninum	SRS domain-containing protein	0.525236	0.52225	342.25	367	Nc_V	4011893	4012993	3313	28
Ncaninum_LIV_000510400.1	9	28	-----	Ncaninum	SRS domain-containing protein	0.525236	0.53541	342.25	353	Nc_V	4000599	4001657	10236	27
Ncaninum_LIV_000509400.1	9	28	-----	Ncaninum	srs domain-containing protein	0.525236	0.53538	342.25	358	Nc_V	3957014	3958087	3294	27
Ncaninum_LIV_000509600.1	9	28	-----	Ncaninum	SRS domain containing protein, putative	0.525236	0.54641	342.25	413	Nc_V	3965747	3969994	3270	27
TGME49_292260-t26_1	9	28	SAG-related sequence SRS36B	Tgondii	-----	0.525236	0.53535	342.25	363	IX	4648692	4650910	1547	7
TGME49_292250-t26_1	9	28	SAG-related sequence SRS36A	Tgondii	-----	0.525236	0.50435	342.25	230	IX	4646048	4647052	1640	7
TGME49_292270-t26_1	9	28	SAG-related sequence SRS36C	Tgondii	-----	0.525236	0.52033	342.25	328	IX	4652457	4653440	650	7
TGME49_292280-t26_1	9	28	SAG-related sequence SRS36D	Tgondii	-----	0.525236	0.5154	342.25	368	IX	4656078	4657241	210621	7
TGME49_292275-t26_1	9	28	SAG-related sequence SRS36E	Tgondii	-----	0.525236	0.54198	342.25	131	IX	4654090	4654482	1596	7
Ncaninum_LIV_000528700.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.52936	383.389	403	Nc_V	5500044	5501252	2432	30
Ncaninum_LIV_000528500.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.52573	383.389	421	Nc_V	5492725	5493987	2403	30
Ncaninum_LIV_000528900.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.51354	383.389	394	Nc_V	5507360	5508541	99999999	30
Ncaninum_LIV_000528600.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.52357	383.389	396	Nc_V	5496390	5497577	2467	30
Ncaninum_LIV_000528800.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.51232	383.389	406	Nc_V	5503684	5504901	2459	30
TGME49_295600-t26_1	4	54	SAG-related sequence SRS10	Tgondii	-----	0.518121	0.51533	383.389	174	Ia	1704365	1705621	99999999	0
TGME49_234930-t26_1	4	54	SAG-related sequence SRS43	Tgondii	-----	0.518121	0.51554	383.389	386	X	4550080	4552453	422485	0
Ncaninum_LIV_000642900.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52057	383.389	397	Nc_VIII	1242675	1243865	1742	32
Ncaninum_LIV_000642700.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51899	383.389	395	Nc_VIII	1237147	1238331	1751	32
Ncaninum_LIV_000642500.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.50423	383.389	394	Nc_VIII	1231954	1233135	1416	32
Ncaninum_LIV_000642400.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52846	383.389	369	Nc_VIII	1229098	1230204	1750	32
Ncaninum_LIV_000643000.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51315	383.389	393	Nc_VIII	1245607	1246785	99999999	32
Ncaninum_LIV_000642600.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51477	383.389	395	Nc_VIII	1234551	1235735	1412	32
Ncaninum_LIV_000642800.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52284	383.389	394	Nc_VIII	1240082	1241263	1412	32
Ncaninum_LIV_000495600.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52121	383.389	385	Nc_V	2865705	2874951	4212	26
Ncaninum_LIV_000495800.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51468	383.389	386	Nc_V	2879163	2880320	1526	26
Ncaninum_LIV_000495900.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51036	383.389	386	Nc_V	2881846	2883003	1577	26
Ncaninum_LIV_000495500.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.50592	383.389	394	Nc_V	2862981	2864162	1543	26
Ncaninum_LIV_000496100.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51123	383.389	386	Nc_V	2887202	2888359	1068655	26
Ncaninum_LIV_000496000.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.50868	383.389	365	Nc_V	2884580	2885674	1528	26
TGME49_267160-t26_1	4	54	SAG-related sequence SRS38D	Tgondii	-----	0.518121	0.5265	383.389	390	IX	756732	758164	2526	6
TGME49_267140-t26_1	4	54	SAG-related sequence SRS38B	Tgondii	-----	0.518121	0.53112	383.389	391	IX	764974	766625	898	6
TGME49_267130-t26_1	4	54	SAG-related sequence SRS38A	Tgondii	-----	0.518121	0.52991	383.389	390	IX	767523	769456	1366172	6
Ncaninum_LIV_000238700.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.51487	383.389	437	Nc_II	7111860	7113170	3054	18
Ncaninum_LIV_000238400.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.52504	383.389	386	Nc_II	7099232	7100389	3055	18
Ncaninum_LIV_000238900.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.52294	383.389	385	Nc_II	7120315	7121469	99999999	18
Ncaninum_LIV_000238600.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.52987	383.389	385	Nc_II	7107756	7108910	2950	18
Ncaninum_LIV_000238500.1	4	54	-----	Ncaninum	SAG3 protein, related	0.518121	0.51795	383.389	390	Nc_II	7103444	7104613	3143	18
Ncaninum_LIV_000238800.1	4	54	-----	Ncaninum	SAG3 protein, related	0.518121	0.52222	383.389	390	Nc_II	7116224	7117393	2922	18
Ncaninum_LIV_000238000.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.51414	383.389	389	Nc_II	7083901	7085067	2736	17
Ncaninum_LIV_000238100.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.51632	383.389	388	Nc_II	7087803	7088966	10266	17
TGME49_267150-t26_1	4	54	SAG-related sequence SRS38C	Tgondii	-----	0.518121	0.51255	383.389	385	IX	760690	762902	2072	6
TGME49_315740-t26_1	4	54	SAG-related sequence SRS54	Tgondii	-----	0.518121	0.50171	383.389	390	XI	4942532	4944545	756174	0
TGME49_273110-t26_1	4	54	SAG-related sequence SRS30D	Tgondii	-----	0.518121	0.51233	383.389	419	VIII	3649867	3651291	233507	44
TGME49_273130-t26_1	4	54	SAG-related sequence SRS30A	Tgondii	-----	0.518121	0.52433	383.389	363	VIII	3642452	3643733	3749	44
TGME49_273120-t26_1	4	54	SAG-related sequence SRS30C	Tgondii	-----	0.518121	0.50311	383.389	375	VIII	3647482	3648673	1194	44
Ncaninum_LIV_000049400.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.50965	383.389	380	Nc_I	3348871	3350010	915751	13
Ncaninum_LIV_000048900.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52697	383.389	377	Nc_I	3329281	3330411	4454	13
Ncaninum_LIV_000048200.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52394	383.389	376	Nc_I	3302841	3303968	2562	12
Ncaninum_LIV_000049200.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52852	383.389	374	Nc_I	3341490	3342611	2415	13
Ncaninum_LIV_000048300.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51343	383.389	422	Nc_I	3306530	3307795	17609	12
Ncaninum_LIV_000047800.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51475	383.389	373	Nc_I	3287398	3288516	2262	12
Ncaninum_LIV_000047600.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.50132	383.389	379	Nc_I	3280580	3281716	1987	12
Ncaninum_LIV_000047700.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52262	383.389	479	Nc_I	3283703	3285139	2259	12
Ncaninum_LIV_000047500.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52711	383.389	375	Nc_I	3277263	3278387	2193	12
Ncaninum_LIV_000048800.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52293	383.389	378	Nc_I	3325404	3326537	2744	13
Ncaninum_LIV_000049000.1	4	54	-----	Ncaninum	SRS domain containing protein, putative	0.518121	0.52917	383.389	160	Nc_I	3334865	3335344	2450	13
Ncaninum_LIV_000047900.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.50887	383.389	376	Nc_I	3290778	3291905	3151	12
Ncaninum_LIV_000048000.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.50933	383.389	375	Nc_I	3295056	3296180	3153	12
Ncaninum_LIV_000049300.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.51523	383.389	383	Nc_I	3345026	3346174	2697	13
Ncaninum_LIV_000048100.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.52255	383.389	377	Nc_I	3299333	3300463	2378	12
Ncaninum_LIV_000049100.1	4	54	-----	Ncaninum	SRS domain-containing protein	0.518121	0.5146	383.389	388	Nc_I	3337794	3338957	2533	13
TGME49_315370-t26_1	7	30	SAG-related sequence SRS53A	Tgondii	-----	0.534967	0.53065	381.933	174	XI	4678695	4680267	2160	53
TGME49_235600-t26_1	266	4	SAG-related sequence SRS45	Tgondii	-----	0.529826	0.50407	213.75	205	X	4974938	4975830	1119261	0
TGME49_264660-t26_1	604	3	SAG-related sequence SRS44	Tgondii	-----	0.534002	0.52393	1034.33	2452	IX	2135628	2144429	2501619	0
TGME49_238440-t26_1	38	10	SAG-related sequence SRS22A	Tgondii	-----	0.55939	0.55385	185.5	195	VI	233137	235300	2343	39
TGME49_275370-t26_1	53	8	SAG-related sequence SRS47C	Tgondii	-----	0.518729	0.50575	285.875	232	X	7210279	7212426	1752	48
Ncaninum_LIV_000200000.1	5336	2	-----	Ncaninum	SRS domain-containing protein	0.508075	0.51326	175.5	176	Nc_II	4192362	4192889	2891012	0
TGME49_234370-t26_1	5336	2	SAG-related sequence SRS42	Tgondii	-----	0.508075	0.50286	175.5	175	X	4326608	4329558	220522	0
TGME49_233450-t26_1	2	93	SAG-related sequence SRS29A	Tgondii	-----	0.530731	0.53207	385.591	421	VIII	2660930	2662192	2289	43
Ncaninum_LIV_000061600.1	2	93	-----	Ncaninum	SRS domain-containing protein	0.530731	0.5141	385.591	402	Nc_I	4265761	4266966	6834	14
TGME49_233480-t26_1	2	93	SAG-related sequence SRS29C	Tgondii	-----	0.530731	0.53262	385.591	373	VIII	2670839	2673590	968862	43
Ncaninum_LIV_000692700.1	4	54	-----	Ncaninum	srs domain-containing protein	0.518121	0.54231	383.389	386	Nc_X	1500521	1501678	1024280	0
TGME49_319360-t26_1	208	5	SAG-related sequence SRS17A	Tgondii	-----	0.531949	0.52976	394.4	392	IV	1008327	1011020	1496	4
Ncaninum_LIV_000685500.1	208	5	-----	Ncaninum	srs domain-containing protein	0.531949	0.54486	394.4	405	Nc_X	994357	996089	2706	35
Ncaninum_LIV_000685600.1	208	5	-----	Ncaninum	SRS domain-containing protein	0.531949	0.54054	394.4	407	Nc_X	998795	1000549	7230	35
Ncaninum_LIV_000685800.1	208	5	-----	Ncaninum	srs domain-containing protein	0.531949	0.5232	394.4	388	Nc_X	1007779	1009462	491059	35
TGME49_319350-t26_1	208	5	SAG-related sequence SRS17B	Tgondii	-----	0.531949	0.52018	394.4	380	IV	1012516	1017916	1266329	4
TGME49_321460-t26_1	2	93	hypothetical protein	Tgondii	-----	0.530731	0.51316	385.591	152	Ib	1783713	1785912	99999999	1
TGME49_283460-t26_1	43	9	SAG-related sequence SRS21	Tgondii	-----	0.519061	0.52118	408	181	V	3147297	3147839	99999999	0
TGME49_226860-t26_1	5337	2	SAG-related sequence SRS67	Tgondii	-----	0.526277	0.51817	212.5	211	X	1283042	1286788	1540725	0
Ncaninum_LIV_000162600.1	5337	2	-----	Ncaninum	hypothetical protein, conserved	0.526277	0.53427	212.5	214	Nc_II	1226900	1227541	1505394	0
Ncaninum_LIV_000393100.1	3939	2	-----	Ncaninum	SRS domain-containing protein	0.51818	0.51818	220	220	Nc_IV	4537342	4538001	1396158	0
TGME49_311440-t26_1	3939	2	SAG-related sequence SRS50	Tgondii	-----	0.51818	0.51818	220	220	XI	2070935	2073374	2573693	0
TGME49_238470-t26_1	38	10	SAG-related sequence SRS22C	Tgondii	-----	0.55939	0.54545	185.5	187	VI	241964	242613	2281	39
